Dte.,Barris,TOTAL,"Menors de 24 anys","25-29 anys","30-34 anys","35-39 anys","40-44 anys","45-49 anys","50-54 anys","55-59 anys","60-64 anys","65-69 anys","70-74 anys","75-79 anys","80-84 anys","85-89 anys","90-94 anys","95 anys i més",,
1,"1. el Raval",5.845,154,425,624,653,534,458,404,361,321,358,334,371,358,294,164,32,,
1,"2. el Barri Gòtic",2.520,92,241,309,279,243,180,181,165,164,147,110,107,114,105,61,22,,
1,"3. la Barceloneta",2.645,80,240,277,284,216,171,140,169,148,148,143,158,221,157,73,20,,
1,"4. Sant Pere, Santa Caterina i la Ribera",3.971,101,332,492,468,407,295,273,226,212,237,201,182,230,184,98,33,,
2,"5. el Fort Pienc",3.981,62,206,350,347,289,252,231,265,273,292,296,298,361,273,142,44,,
2,"6. la Sagrada Família",7.171,105,372,577,569,479,448,477,434,493,543,529,506,663,604,312,60,,
2,"7. la Dreta de l'Eixample",6.380,123,353,567,608,494,409,372,424,487,476,480,399,475,407,224,82,,
2,"8. l'Antiga Esquerra de l'Eixample",6.464,124,420,609,509,456,390,428,459,446,495,442,386,508,454,244,94,,
2,"9. la Nova Esquerra de l'Eixample",8.124,141,476,677,615,572,474,468,509,591,660,651,572,700,611,319,88,,
2,"10. Sant Antoni",5.651,71,243,468,519,379,368,369,328,361,384,410,433,525,488,248,57,,
3,"11. el Poble Sec - AEI Parc Montjuïc",5.274,76,257,495,541,443,399,354,329,313,349,310,379,469,357,162,41,,
3,"12. la Marina del Prat Vermell - AEI Zona Franca",166,3,8,15,11,9,12,10,13,13,16,11,9,13,16,6,1,,
3,"13. la Marina de Port",3.068,27,90,200,225,228,217,200,207,229,247,226,284,345,228,102,13,,
3,"14. la Font de la Guatlla",1.362,22,80,113,106,104,85,90,82,105,100,111,101,118,88,49,8,,
3,"15. Hostafrancs",2.055,24,129,207,199,159,139,140,143,133,156,135,116,159,136,58,22,,
3,"16. la Bordeta",2.152,31,97,178,169,163,113,137,167,174,191,162,166,176,154,61,13,,
3,"17. Sants - Badal",2.985,46,184,231,257,232,181,191,195,213,198,229,208,279,226,92,23,,
3,"18. Sants",5.660,77,319,518,491,429,367,363,349,349,380,410,396,514,449,206,43,,
4,"19. les Corts",5.804,76,280,456,395,338,322,353,360,447,540,500,495,546,435,212,49,,
4,"20. la Maternitat i Sant Ramon",2.679,42,131,182,186,157,134,140,156,200,261,246,210,284,226,101,23,,
4,"21. Pedralbes",1.062,25,46,45,70,48,57,58,56,71,113,99,89,118,106,54,7,,
5,"22. Vallvidrera, el Tibidabo i les Planes",360,5,22,17,27,26,27,43,43,36,30,35,15,16,11,6,1,,
5,"23. Sarrià",2.478,41,103,183,192,170,158,164,182,176,191,212,166,220,186,106,28,,
5,"24. les Tres Torres",1.342,21,60,85,78,88,79,83,90,94,115,129,118,127,109,47,19,,
5,"25. Sant Gervasi - la Bonanova",2.681,59,122,181,205,186,158,137,174,202,237,218,197,222,217,126,40,,
5,"26. Sant Gervasi - Galvany",5.828,105,260,423,374,348,336,365,367,378,471,510,482,540,505,274,90,,
5,"27. el Putxet i el Farró",4.095,85,236,344,321,305,256,259,242,322,357,343,271,308,263,142,41,,
6,"28. Vallcarca i els Penitents",2.049,26,98,137,179,171,134,134,128,135,168,213,134,175,136,62,19,,
6,"29. el Coll",933,18,40,64,81,78,68,76,62,72,78,89,68,65,50,18,6,,
6,"30. la Salut",1.684,31,95,146,122,105,89,81,85,124,156,148,130,166,117,63,26,,
6,"31. la Vila de Gràcia",8.720,141,652,1.065,1.007,738,545,539,494,503,547,474,461,638,542,296,78,,
6,"32. el Camp d'en Grassot i Gràcia Nova",4.850,64,235,412,409,327,314,293,306,373,346,379,397,427,339,180,49,,
7,"33. el Baix Guinardó",3.427,38,152,249,291,239,207,199,231,229,255,289,258,393,254,124,19,,
7,"34. Can Baró",1.151,15,59,90,87,94,73,82,74,62,80,88,97,115,85,40,10,,
7,"35. el Guinardó",4.739,58,203,332,332,367,338,332,296,299,380,345,380,456,394,181,46,,
7,"36. la Font d'en Fargues",899,9,37,47,68,85,61,55,56,72,84,90,80,74,47,30,4,,
7,"37. el Carmel",3.385,51,133,199,272,294,225,199,184,246,258,289,331,357,225,104,18,,
7,"38. la Teixonera",1.306,20,61,90,102,109,92,90,85,68,106,113,123,110,89,40,8,,
7,"39. Sant Genís dels Agudells",829,7,35,43,43,51,60,56,39,45,64,77,104,110,74,15,6,,
7,"40. Montbau",712,7,22,32,40,41,55,43,40,24,30,42,94,124,77,37,4,,
7,"41. la Vall d'Hebron",606,6,12,29,28,33,31,41,44,32,58,73,84,65,50,18,2,,
7,"42. la Clota",85,1,6,9,14,9,7,6,5,3,3,1,7,6,4,4,0,,
7,"43. Horta",3.036,25,110,157,204,224,189,207,193,196,256,280,297,349,221,104,24,,
8,"44. Vilapicina i la Torre Llobeta",3.042,33,82,157,200,211,183,182,198,177,258,263,297,370,262,142,27,,
8,"45. Porta",3.017,32,83,181,250,245,169,167,169,179,229,264,291,376,265,99,18,,
8,"46. el Turó de la Peira",1.953,17,46,82,98,109,97,148,102,113,99,114,168,341,308,100,11,,
8,"47. Can Peguera",295,2,13,13,37,22,16,15,23,24,14,17,40,28,24,7,0,,
8,"48. la Guineueta",1.627,10,42,63,74,95,89,74,89,104,158,157,193,232,169,72,6,,
8,"49. Canyelles",685,6,17,31,38,28,34,33,52,59,83,86,70,88,39,19,2,,
8,"50. les Roquetes",1.477,30,58,88,129,133,91,88,90,98,116,117,118,163,108,38,12,,
8,"51. Verdun",1.568,16,43,92,132,137,108,96,86,106,109,139,165,149,119,62,9,,
8,"52. la Prosperitat",2.976,34,89,155,205,200,184,156,166,171,222,303,385,356,240,98,12,,
8,"53. la Trinitat Nova",876,13,24,40,65,48,50,63,62,63,68,62,57,111,108,36,6,,
8,"54. Torre Baró",201,5,9,13,20,20,12,14,20,18,19,10,10,13,10,7,1,,
8,"55. Ciutat Meridiana",816,12,23,35,50,72,64,74,39,43,79,83,92,87,44,15,4,,
8,"56. Vallbona",135,3,1,14,25,18,15,9,7,12,8,7,7,9,0,0,0,,
9,"57. la Trinitat Vella",810,22,33,48,84,83,72,60,47,49,62,46,64,73,39,21,7,,
9,"58. Baró de Viver",287,2,5,16,37,29,20,15,25,22,20,14,24,27,24,7,0,,
9,"59. el Bon Pastor",1.091,16,47,68,95,93,76,69,71,71,76,83,114,118,68,21,5,,
9,"60. Sant Andreu",6.418,72,236,468,537,549,425,369,420,453,545,493,502,635,448,222,44,,
9,"61. la Sagrera",3.126,25,115,196,251,201,205,175,230,269,280,245,267,299,248,97,23,,
9,"62. el Congrés i els Indians",1.890,12,55,124,118,126,115,105,127,104,129,130,111,259,256,96,23,,
9,"63. Navas",2.498,23,86,148,165,150,132,128,146,185,236,245,221,293,216,106,18,,
10,"64. el Camp de l'Arpa del Clot",5.083,62,243,415,430,381,275,323,302,356,430,405,327,470,427,198,39,,
10,"65. el Clot",2.919,37,137,221,247,220,195,198,207,194,244,238,206,241,224,95,15,,
10,"66. el Parc i la Llacuna del Poblenou",1.863,30,89,158,227,153,134,125,105,137,158,121,101,162,112,43,8,,
10,"67. la Vila Olímpica del Poblenou",852,12,30,53,79,88,82,97,84,84,75,45,41,49,24,8,1,,
10,"68. el Poblenou",4.037,47,173,365,458,458,348,274,220,198,237,229,250,331,296,123,30,,
10,"69. Diagonal Mar i el Front Marítim del Poblenou",1.590,23,74,195,254,223,147,106,95,94,81,75,86,63,46,20,8,,
10,"70. el Besòs i el Maresme",2.222,24,67,116,139,134,142,152,148,151,165,155,226,320,189,80,14,,
10,"71. Provençals del Poblenou",2.133,23,99,170,238,182,164,141,148,134,137,137,163,180,144,65,8,,
10,"72. Sant Martí de Provençals",2.938,27,86,153,215,184,154,157,176,191,242,275,278,382,285,111,22,,
10,"73. la Verneda i la Pau",2.844,24,58,129,170,152,170,154,149,216,248,307,309,367,243,127,21,,
