"Dte.","Barris","Gener","Febrer","Març","Abril","Maig","Juny","Juliol","Agost","Setembre","Octubre","Novembre","Desembre"
1,"1. el Raval",4.368,4.346,4.341,4.240,4.111,3.976,3.905,3.850,3.831,3.833,3.946,3.901
1,"2. el Barri Gòtic",1.197,1.168,1.146,1.131,1.067,1.053,1.054,1.030,1.011,1.016,1.058,1.049
1,"3. la Barceloneta",1.278,1.277,1.277,1.234,1.194,1.158,1.148,1.150,1.140,1.176,1.192,1.204
1,"4. Sant Pere, Santa Caterina i la Ribera",1.773,1.771,1.773,1.711,1.655,1.605,1.591,1.595,1.580,1.629,1.649,1.667
2,"5. el Fort Pienc",1.715,1.720,1.729,1.664,1.599,1.551,1.544,1.572,1.543,1.514,1.502,1.468
2,"6. la Sagrada Família",2.805,2.793,2.780,2.674,2.589,2.511,2.534,2.596,2.552,2.533,2.484,2.467
2,"7. la Dreta de l'Eixample",1.794,1.810,1.796,1.734,1.692,1.671,1.675,1.715,1.679,1.697,1.676,1.651
2,"8. l'Antiga Esquerra de l'Eixample",2.076,2.027,1.989,1.903,1.850,1.801,1.812,1.838,1.828,1.830,1.834,1.809
2,"9. la Nova Esquerra de l'Eixample",3.026,2.994,2.956,2.864,2.763,2.675,2.696,2.716,2.674,2.704,2.726,2.668
2,"10. Sant Antoni",2.189,2.172,2.141,2.069,1.990,1.940,1.927,1.941,1.911,1.938,1.959,1.910
3,"11. el Poble Sec - AEI Parc Montjuïc",3.237,3.220,3.156,3.062,2.973,2.888,2.838,2.831,2.758,2.767,2.834,2.787
3,"12. la Marina del Prat Vermell - AEI Zona Franca",146,152,155,160,156,144,141,136,142,143,140,147
3,"13. la Marina de Port",2.362,2.338,2.350,2.280,2.262,2.142,2.130,2.133,2.073,2.116,2.094,2.072
3,"14. la Font de la Guatlla",814,809,795,771,750,727,715,713,695,698,714,701
3,"15. Hostafrancs",981,976,976,934,908,873,855,881,878,882,888,856
3,"16. la Bordeta",1.151,1.145,1.145,1.096,1.066,1.024,1.003,1.033,1.031,1.035,1.042,1.004
3,"17. Sants - Badal",1.283,1.290,1.277,1.246,1.186,1.158,1.171,1.193,1.177,1.165,1.161,1.129
3,"18. Sants",2.389,2.386,2.374,2.291,2.209,2.135,2.124,2.176,2.160,2.158,2.164,2.094
4,"19. les Corts",2.433,2.428,2.400,2.324,2.240,2.163,2.180,2.225,2.204,2.209,2.213,2.150
4,"20. la Maternitat i Sant Ramon",1.268,1.276,1.263,1.232,1.173,1.145,1.158,1.179,1.164,1.152,1.148,1.116
4,"21. Pedralbes",280,287,292,284,273,268,278,273,261,251,255,252
5,"22. Vallvidrera, el Tibidabo i les Planes",114,115,115,114,110,106,112,112,110,110,110,108
5,"23. Sarrià",602,612,620,607,585,570,596,588,568,554,558,551
5,"24. les Tres Torres",445,446,448,442,429,414,437,435,428,427,426,419
5,"25. Sant Gervasi - la Bonanova",778,786,754,733,722,714,737,739,720,707,700,685
5,"26. Sant Gervasi - Galvany",1.416,1.466,1.450,1.423,1.363,1.328,1.332,1.339,1.320,1.313,1.316,1.280
5,"27. el Putxet i el Farró",1.336,1.335,1.327,1.289,1.257,1.210,1.233,1.245,1.233,1.214,1.210,1.182
6,"28. Vallcarca i els Penitents",867,851,849,827,809,767,781,792,784,776,777,759
6,"29. el Coll",366,359,358,348,341,322,329,334,331,327,329,320
6,"30. la Salut",723,712,704,678,656,628,643,659,652,634,621,620
6,"31. la Vila de Gràcia",2.760,2.784,2.758,2.669,2.536,2.494,2.544,2.618,2.531,2.514,2.530,2.477
6,"32. el Camp d'en Grassot i Gràcia Nova",1.813,1.795,1.771,1.708,1.660,1.613,1.643,1.689,1.665,1.652,1.610,1.612
7,"33. el Baix Guinardó",1.406,1.389,1.371,1.319,1.282,1.238,1.265,1.301,1.284,1.273,1.238,1.244
7,"34. Can Baró",517,510,504,484,468,449,459,471,467,453,442,442
7,"35. el Guinardó",2.215,2.216,2.216,2.136,2.025,2.025,2.048,2.080,2.044,2.061,2.045,2.027
7,"36. la Font d'en Fargues",687,684,680,660,632,615,613,624,609,619,615,605
7,"37. el Carmel",2.341,2.331,2.316,2.246,2.155,2.095,2.090,2.124,2.077,2.109,2.095,2.061
7,"38. la Teixonera",694,689,688,679,656,634,630,639,626,630,621,612
7,"39. Sant Genís dels Agudells",416,412,412,409,397,383,379,385,378,379,373,367
7,"40. Montbau",301,298,298,296,287,277,275,279,273,274,270,266
7,"41. la Vall d'Hebron",321,318,318,316,306,295,293,297,291,292,287,283
7,"42. la Clota",22,22,22,22,21,21,20,21,20,20,20,20
7,"43. Horta",1.949,1.950,1.939,1.891,1.824,1.749,1.735,1.763,1.749,1.765,1.762,1.744
8,"44. Vilapicina i la Torre Llobeta",1.807,1.821,1.810,1.773,1.713,1.635,1.613,1.636,1.642,1.648,1.640,1.632
8,"45. Porta",1.757,1.785,1.777,1.743,1.678,1.614,1.585,1.600,1.613,1.618,1.594,1.589
8,"46. el Turó de la Peira",1.126,1.130,1.123,1.098,1.063,1.009,999,1.015,1.017,1.022,1.023,1.017
8,"47. Can Peguera",157,157,157,153,148,141,140,142,141,143,143,141
8,"48. la Guineueta",1.271,1.264,1.271,1.230,1.188,1.156,1.143,1.156,1.135,1.171,1.157,1.135
8,"49. Canyelles",620,617,620,600,579,564,557,564,554,571,564,554
8,"50. les Roquetes",1.344,1.337,1.345,1.301,1.257,1.223,1.209,1.223,1.201,1.238,1.224,1.201
8,"51. Verdun",1.030,1.025,1.031,998,963,938,927,937,920,949,938,921
8,"52. la Prosperitat",1.980,2.010,2.002,1.963,1.889,1.819,1.785,1.802,1.816,1.823,1.794,1.790
8,"53. la Trinitat Nova",882,893,910,880,846,814,781,775,784,816,820,795
8,"54. Torre Baró",243,247,252,243,234,225,215,213,216,225,227,220
8,"55. Ciutat Meridiana",1.270,1.289,1.314,1.271,1.221,1.174,1.123,1.113,1.129,1.176,1.184,1.146
8,"56. Vallbona",147,150,153,148,142,136,130,129,131,137,137,133
9,"57. la Trinitat Vella",1.177,1.194,1.218,1.177,1.132,1.088,1.040,1.031,1.046,1.090,1.097,1.062
9,"58. Baró de Viver",169,169,168,165,158,153,152,156,154,155,153,150
9,"59. el Bon Pastor",961,962,957,935,897,867,865,887,878,882,868,855
9,"60. Sant Andreu",3.884,3.890,3.869,3.783,3.630,3.505,3.497,3.588,3.552,3.568,3.511,3.456
9,"61. la Sagrera",1.791,1.793,1.767,1.750,1.700,1.638,1.588,1.639,1.633,1.627,1.618,1.602
9,"62. el Congrés i els Indians",872,873,860,852,828,797,773,798,795,792,788,780
9,"63. Navas",1.340,1.341,1.324,1.307,1.266,1.226,1.195,1.231,1.225,1.221,1.214,1.203
10,"64. el Camp de l'Arpa del Clot",2.507,2.497,2.455,2.429,2.337,2.292,2.311,2.333,2.295,2.300,2.257,2.226
10,"65. el Clot",1.737,1.731,1.703,1.665,1.613,1.566,1.553,1.582,1.566,1.565,1.539,1.537
10,"66. el Parc i la Llacuna del Poblenou",848,843,833,802,778,751,738,760,753,755,745,751
10,"67. la Vila Olímpica del Poblenou",554,546,545,519,502,481,467,491,487,494,493,494
10,"68. el Poblenou",1.911,1.886,1.877,1.793,1.733,1.664,1.619,1.695,1.680,1.702,1.697,1.701
10,"69. Diagonal Mar i el Front Marítim del Poblenou",941,935,923,888,855,814,777,796,804,829,811,803
10,"70. el Besòs i el Maresme",2.153,2.141,2.114,2.036,1.961,1.868,1.786,1.825,1.844,1.899,1.858,1.838
10,"71. Provençals del Poblenou",1.389,1.377,1.364,1.321,1.284,1.238,1.217,1.235,1.233,1.244,1.226,1.228
10,"72. Sant Martí de Provençals",1.909,1.883,1.874,1.824,1.780,1.722,1.708,1.718,1.716,1.727,1.708,1.712
10,"73. la Verneda i la Pau",2.159,2.130,2.120,2.065,2.016,1.950,1.935,1.943,1.942,1.956,1.935,1.938
,"No consta",4,4,4,4,2,2,2,3,2,3,3,3
